04:22:40.869 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.text.ParseException
04:22:40.871 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.lang3.time.DateUtils.parseDate(DateUtils:287)
04:22:40.871 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.lang3.time.DateUtils
04:22:40.871 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
04:22:41.633 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.DateUtils
04:22:41.635 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.DateUtils
04:22:41.648 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 5.
04:22:42.566 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
04:22:42.574 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
04:22:42.581 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
04:22:42.588 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
04:22:42.728 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 1.5
04:22:43.381 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.383 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.384 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.385 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.406 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.418 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.460 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.462 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.470 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.472 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.500 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.526 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.623 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.625 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.626 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.629 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.651 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.654 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.658 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.712 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 1.5
04:22:43.712 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 1.5. PT: 1 seconds
04:22:43.713 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
04:22:43.856 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.857 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.910 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.960 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.995 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:43.995 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.006 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.009 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.015 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.022 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.022 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.022 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.028 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.028 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.029 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.031 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.031 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.032 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.033 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.039 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.045 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.047 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.054 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.054 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.054 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.058 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.059 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:44.059 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
