09:07:16.267 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.hibernate.QueryParameterException
09:07:16.270 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: com.xpn.xwiki.store.hibernate.query.HqlQueryExecutor.populateParameters(HqlQueryExecutor:384)
09:07:16.270 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: com.xpn.xwiki.store.hibernate.query.HqlQueryExecutor
09:07:16.270 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
09:07:18.262 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.engine.query.ParameterMetadata
09:07:18.263 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.engine.query.ParameterMetadata
09:07:18.263 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.impl.AbstractQueryImpl
09:07:18.263 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.impl.AbstractQueryImpl
09:07:18.264 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.store.hibernate.query.HqlQueryExecutor
09:07:18.264 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.store.hibernate.query.HqlQueryExecutor
09:07:18.288 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 553.
09:07:37.510 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
09:07:37.519 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
09:07:37.527 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
09:07:37.535 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
09:07:39.770 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 2 second: 6.6
09:07:41.652 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.659 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.667 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.668 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.682 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.770 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.772 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.776 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.780 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.864 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.898 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.902 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.902 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.939 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.949 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.997 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:41.999 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:42.070 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:42.283 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 6.6
09:07:42.283 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 6.6. PT: 4 seconds
09:07:42.283 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
09:07:43.731 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:43.731 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:44.205 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:44.206 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:07:44.840 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
