07:47:34.430 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.mockito.exceptions.base.MockitoException
07:47:34.434 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.mockito.internal.MockitoCore.mock(MockitoCore:58)
07:47:34.434 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.mockito.internal.MockitoCore
07:47:34.434 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
07:47:35.478 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.exceptions.Reporter
07:47:35.480 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.internal.util.MockCreationValidator
07:47:35.480 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.internal.creation.MockSettingsImpl
07:47:35.480 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.internal.creation.MockSettingsImpl
07:47:35.480 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.internal.MockitoCore
07:47:35.488 [main] WARN  e.s.b.c.g.c.BotsingRawControlFlowGraph - method serializableWontWorkForObjectsThatDontImplementSerializable(Ljava/lang/Class;)V does not have any exit point
07:47:35.514 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 3.
07:47:36.498 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
07:47:36.506 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
07:47:36.513 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
07:47:36.519 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
07:47:36.553 [main] WARN  e.s.b.g.s.GuidedSingleObjectiveGA - Botsing was unsuccessful in generating the initial population. cause: null
07:47:36.585 [main] WARN  e.s.b.g.s.GuidedSingleObjectiveGA - Botsing was unsuccessful in generating the initial population. cause: null
07:47:36.605 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 5.5
07:47:36.605 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 5.5
07:47:36.606 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 5.5. PT: 0 seconds
07:47:36.606 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
07:47:36.673 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:36.798 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:36.869 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:36.927 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:36.938 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.259 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.307 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.316 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.342 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.407 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.408 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.408 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.417 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.418 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.576 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.577 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.598 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.598 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.605 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.605 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.609 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.609 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.626 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.626 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.653 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.719 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 5.5 | 100
07:47:37.729 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.730 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.843 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.849 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.883 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.937 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.950 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:37.985 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 76 fitness evolutions and 1 second: 3.5
07:47:38.470 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 3.5 | 150
07:47:38.470 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 3.5. PT: 1 seconds
07:47:38.876 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 3.5 | 200
07:47:39.257 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 3.5 | 250
07:47:39.332 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 224 fitness evolutions and 2 second: 2.5
07:47:39.484 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.5 | 300
07:47:39.484 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 2.5. PT: 2 seconds
07:47:39.688 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.5 | 350
07:47:39.920 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.5 | 400
07:47:40.087 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.5 | 450
07:47:40.264 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.5 | 500
07:47:40.561 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.5 | 550
07:47:40.669 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 550 fitness evolutions and 4 second: 2.333333333333333
07:47:40.793 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.333333333333333 | 600
07:47:40.793 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 2.333333333333333. PT: 4 seconds
07:47:40.943 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.333333333333333 | 650
07:47:41.127 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.333333333333333 | 700
07:47:41.223 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.280 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.280 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.301 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.318 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.333333333333333 | 750
07:47:41.366 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.402 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.424 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.425 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.428 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.428 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.441 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.448 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.456 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.456 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.461 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.462 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.463 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.469 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.479 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.498 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.333333333333333 | 800
07:47:41.527 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
07:47:41.527 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
