04:31:36.956 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.xwiki.officeimporter.OfficeImporterException
04:31:36.962 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.xwiki.display.internal.DocumentContentDisplayer.display(DocumentContentDisplayer:126)
04:31:36.962 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.xwiki.display.internal.DocumentContentDisplayer
04:31:36.962 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
04:31:38.107 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 597.
04:32:10.585 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
04:32:10.596 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
04:32:10.605 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
04:32:10.611 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
04:32:12.533 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 1 second: 4.5
04:32:12.874 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:12.875 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:12.875 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:12.942 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:12.995 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:12.995 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:12.995 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.033 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.034 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.034 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
04:32:13.034 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.034 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.034 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.076 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.077 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.082 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
04:32:13.096 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.106 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.147 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.149 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.149 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
04:32:13.154 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
04:32:13.167 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.168 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
04:32:13.172 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
04:32:13.180 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.187 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.194 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.200 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.201 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.205 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.235 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.235 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.262 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:32:13.295 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
