04:08:56.287 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.StringIndexOutOfBoundsException
04:08:56.290 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.lang3.text.translate.CharSequenceTranslator.translate(CharSequenceTranslator:59)
04:08:56.290 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.lang3.text.translate.CharSequenceTranslator
04:08:56.290 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
04:08:56.685 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.text.translate.NumericEntityUnescaper
04:08:56.688 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.text.translate.CharSequenceTranslator
04:08:56.688 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.text.translate.CharSequenceTranslator
04:08:56.733 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 5.
04:08:57.593 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
04:08:57.603 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
04:08:57.613 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
04:08:57.621 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
04:08:57.870 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 3.5
04:08:58.403 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 4 fitness evolutions and 0 second: 2.5
04:08:58.744 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 2.5
04:08:58.745 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 2.5. PT: 1 seconds
04:08:58.745 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
04:08:59.413 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.5 | 100
04:08:59.548 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 144 fitness evolutions and 1 second: 1.5
04:08:59.660 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 150
04:08:59.661 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 1.5. PT: 2 seconds
04:08:59.866 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:08:59.881 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:08:59.937 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 200
04:08:59.992 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:08:59.993 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.150 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.150 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.151 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.201 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.201 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.254 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 250
04:09:00.366 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.367 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.371 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.393 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.396 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.398 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.399 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.399 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.400 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.407 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.419 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.421 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 300
04:09:00.470 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.558 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.563 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.579 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.580 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.580 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.580 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.582 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.583 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.583 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.583 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.587 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.594 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.594 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.610 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 350
04:09:00.623 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.646 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.676 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.678 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.765 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.766 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.773 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:09:00.778 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
