04:00:46.936 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.ClassNotFoundException
04:00:46.938 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.lang3.SerializationUtils.clone(SerializationUtils:95)
04:00:46.938 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.lang3.SerializationUtils
04:00:46.939 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
04:00:47.216 [main] WARN  e.s.b.c.i.ClassInstrumentation - Error in loading org.apache.tools.ant.AntClassLoader
04:00:47.310 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.tools.ant.AntClassLoader
04:00:47.310 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - [frame 1]Cannot load class org.apache.tools.ant.AntClassLoader. We do not count it in the InterProcedural graph
04:00:47.310 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.tools.ant.AntClassLoader
04:00:47.310 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - [frame 2]Cannot load class org.apache.tools.ant.AntClassLoader. We do not count it in the InterProcedural graph
04:00:47.310 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.tools.ant.AntClassLoader
04:00:47.310 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - [frame 3]Cannot load class org.apache.tools.ant.AntClassLoader. We do not count it in the InterProcedural graph
04:00:47.310 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream
04:00:47.310 [main] WARN  e.s.botsing.graphs.cfg.CFGGenerator - Could not find the cfg of class org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream, method resolveClass, and line number 268.
04:00:47.311 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - could not find any candidate.
04:00:47.311 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Probably, Frame level 4 is an irrelevant frame. We do not count it in the InterProcedural graph
04:00:47.311 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.SerializationUtils
04:00:47.311 [main] WARN  e.s.botsing.graphs.cfg.CFGGenerator - Could not find the cfg of class org.apache.commons.lang3.SerializationUtils, method clone, and line number 95.
04:00:47.311 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - could not find any candidate.
04:00:47.311 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Probably, Frame level 5 is an irrelevant frame. We do not count it in the InterProcedural graph
04:00:47.315 [main] ERROR e.s.b.reproduction.CrashReproduction - Error in target initialization:
04:00:47.324 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
04:00:47.332 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
04:00:47.339 [main] ERROR e.s.b.c.t.TestGenerationContextUtility - CrashCoverageTestfitness.derivingMethodFromBytecode: instruction for this class org.apache.tools.ant.AntClassLoader was null!
