05:31:32.380 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.apache.commons.math.exception.TooManyEvaluationsException
05:31:32.384 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver.solve(BaseAbstractUnivariateRealSolver:190)
05:31:32.384 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver
05:31:32.384 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
05:31:33.449 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver
05:31:33.451 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver
05:31:33.451 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver
05:31:33.456 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver
05:31:33.602 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 3.
05:31:34.714 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
05:31:34.725 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
05:31:34.741 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
05:31:34.749 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
05:31:35.153 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 4.5
05:31:36.069 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.5
05:31:36.069 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.5. PT: 1 seconds
05:31:36.070 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
05:31:36.439 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.441 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.622 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.624 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.782 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.782 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.782 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.782 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.783 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.834 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.835 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.835 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.835 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.881 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.925 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 100
05:31:36.984 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:36.985 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:37.066 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:37.067 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:37.238 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:37.239 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:37.935 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:37.935 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:37.976 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:38.025 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:38.033 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:31:38.035 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
