02:40:20.563 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.xwiki.rendering.macro.MacroExecutionException
02:40:20.600 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: com.xpn.xwiki.web.XWikiAction.execute(XWikiAction:193)
02:40:20.600 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: com.xpn.xwiki.web.XWikiAction
02:40:20.601 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
02:40:30.379 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 588.
02:41:28.367 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
02:41:28.439 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
02:41:28.535 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
02:41:28.544 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
02:41:30.086 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 1 second: 4.5
02:41:33.296 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:33.296 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:33.346 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:33.346 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:33.346 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:33.807 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:33.808 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:33.891 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.5
02:41:33.891 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.5. PT: 5 seconds
02:41:33.891 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
02:41:35.278 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:35.280 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:36.094 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:36.158 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:38.751 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:38.752 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:38.796 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:38.798 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:39.106 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:39.108 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:39.248 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:39.249 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.386 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.389 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.390 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.393 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.398 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.402 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.402 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.402 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.413 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.443 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.575 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.576 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.576 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.577 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.638 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.638 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.638 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.639 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.753 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:40.833 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 100
02:41:41.308 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:41.308 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:41.940 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:41.941 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:42.547 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:42.547 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:42.770 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:42.771 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:42.849 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:42.849 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:46.182 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:46.183 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:46.237 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
02:41:46.237 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
