10:06:46.189 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.joda.time.IllegalFieldValueException
10:06:46.191 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.joda.time.chrono.BasicChronology.getDateMidnightMillis(BasicChronology:605)
10:06:46.191 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.joda.time.chrono.BasicChronology
10:06:46.191 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
10:06:46.963 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.joda.time.field.FieldUtils
10:06:46.964 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.joda.time.chrono.BasicChronology
10:06:47.003 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 5.
10:06:48.510 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
10:06:48.531 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
10:06:48.542 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
10:06:48.551 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
10:06:49.135 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 2.5
10:06:49.492 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.493 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.495 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.502 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.506 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
10:06:49.507 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
10:06:49.516 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.519 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.524 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.544 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.549 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.730 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.731 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.778 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 2.5
10:06:49.778 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 2.5. PT: 1 seconds
10:06:49.778 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
10:06:49.798 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.798 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.855 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:49.857 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.059 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.059 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.103 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.106 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.108 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.109 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.133 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.133 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.135 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.261 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.261 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.262 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.262 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.262 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.292 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.292 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.392 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.5 | 100
10:06:50.419 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.420 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.434 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.434 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.510 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.511 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.584 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.585 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.630 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.631 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.641 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.641 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.662 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.663 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.671 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.672 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.673 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.674 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.674 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.695 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.702 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.702 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.712 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.726 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.726 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.726 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.726 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.739 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.739 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.739 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.751 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.751 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.751 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.766 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.775 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.775 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.776 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.776 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.776 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.777 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.788 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.819 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 2.5 | 150
10:06:50.826 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.827 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.855 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.856 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.934 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
10:06:50.936 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.994 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:50.995 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.012 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.013 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.027 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.074 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.075 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.099 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.100 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.133 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.134 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.169 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.170 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.192 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.197 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.223 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.226 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.268 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.273 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.282 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.284 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.285 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.303 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.347 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.360 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.455 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.456 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.489 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.490 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.510 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.511 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.526 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.527 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.528 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.530 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.532 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.533 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.565 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.568 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.568 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.571 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.601 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.609 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.610 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:06:51.610 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
