04:45:56.080 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.apache.commons.math.MaxIterationsExceededException
04:45:56.084 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.math.special.Erf.erf(Erf:56)
04:45:56.084 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.math.special.Erf
04:45:56.085 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
04:45:56.617 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.special.Gamma
04:45:56.619 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.special.Erf
04:45:56.640 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 3.
04:45:57.713 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
04:45:57.742 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
04:45:57.753 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
04:45:57.766 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
04:45:58.613 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 1.5
04:46:02.471 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.473 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.475 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.497 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.498 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.499 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.583 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.585 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.615 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.796 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.801 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.805 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.809 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.834 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.846 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.850 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.854 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.858 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.863 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.866 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.870 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.880 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.884 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.888 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.913 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.953 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.956 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.957 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.960 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.968 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.969 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.065 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.066 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.067 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.068 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.080 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 1.5
04:46:03.081 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 1.5. PT: 5 seconds
04:46:03.081 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
04:46:03.412 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.413 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.688 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.693 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.693 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.931 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.932 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:04.170 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:04.172 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:05.254 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:06.482 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:06.487 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:07.371 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:07.374 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:07.397 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:07.397 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:08.092 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:08.099 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.610 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.611 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.624 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.625 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.626 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.628 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.629 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.634 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.636 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.639 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.639 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.640 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.641 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.645 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.651 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.652 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.658 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.664 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.668 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.669 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.672 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.673 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.677 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.681 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.685 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.686 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.686 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:09.688 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
