16:14:43.146 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.io.FileNotFoundException
16:14:43.149 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: com.xpn.xwiki.doc.XWikiAttachmentContent.getContentInputStream(XWikiAttachmentContent:244)
16:14:43.149 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: com.xpn.xwiki.doc.XWikiAttachmentContent
16:14:43.149 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
16:14:44.526 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.fileupload.disk.DiskFileItem
16:14:44.527 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.doc.XWikiAttachmentContent
16:14:44.534 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 585.
16:15:04.804 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
16:15:04.813 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
16:15:04.819 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
16:15:04.825 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
16:15:06.039 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 1 second: 2.5
16:15:11.633 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.634 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.648 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.649 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.649 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.654 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.659 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.662 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.663 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.679 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.683 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.747 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.747 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.797 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
16:15:11.797 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
