05:28:55.912 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.apache.commons.math.optimization.direct.BOBYQAOptimizer$PathIsExploredException
05:28:55.915 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.math.optimization.direct.BOBYQAOptimizer.bobyqa(BOBYQAOptimizer:332)
05:28:55.915 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.math.optimization.direct.BOBYQAOptimizer
05:28:55.915 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
05:29:22.572 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.optimization.direct.BOBYQAOptimizer
05:29:22.577 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.optimization.direct.BOBYQAOptimizer
05:29:22.591 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.optimization.direct.BOBYQAOptimizer
05:29:22.592 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.optimization.direct.BOBYQAOptimizer
05:29:23.044 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 3.
05:29:24.476 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
05:29:24.486 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
05:29:25.062 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
05:29:25.071 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
05:29:25.394 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 4.5
05:29:26.853 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.103 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.142 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.217 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.5
05:29:27.233 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.5. PT: 2 seconds
05:29:27.233 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
05:29:27.469 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.854 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.854 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.855 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.866 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.892 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.901 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.910 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.959 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.960 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:27.978 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 100
05:29:28.197 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.197 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.202 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.232 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.435 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.465 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 150
05:29:28.536 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.538 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.767 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.788 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.916 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.927 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:28.988 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:29.013 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 200
05:29:29.050 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
05:29:29.051 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
