14:54:17.380 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.util.NoSuchElementException
14:54:17.384 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.xwiki.rendering.listener.chaining.AbstractChainingListener.endFormat(AbstractChainingListener:290)
14:54:17.385 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.xwiki.rendering.listener.chaining.AbstractChainingListener
14:54:17.385 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
14:54:18.644 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.rendering.listener.chaining.EmptyBlockChainingListener
14:54:18.645 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.rendering.listener.chaining.EmptyBlockChainingListener
14:54:18.645 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.rendering.listener.chaining.AbstractChainingListener
14:54:18.652 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 589.
14:54:27.312 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
14:54:27.324 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
14:54:27.332 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
14:54:27.339 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
14:54:27.592 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 3.5
14:54:28.627 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:28.654 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:28.659 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:28.681 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:28.686 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:28.702 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:28.710 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:28.768 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:28.858 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:28.858 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:28.906 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 3.5
14:54:28.906 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 3.5. PT: 1 seconds
14:54:28.906 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
14:54:29.180 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.181 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.381 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.382 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.457 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.458 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.458 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.508 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.543 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 3.5 | 100
14:54:29.618 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.619 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.635 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.635 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:54:29.652 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
