06:45:12.310 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.xwiki.officeimporter.OfficeImporterException
06:45:12.352 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.xwiki.velocity.introspection.TryCatchDirective.render(TryCatchDirective:72)
06:45:12.352 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.xwiki.velocity.introspection.TryCatchDirective
06:45:12.352 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
06:45:13.506 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 597.
06:45:29.079 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
06:45:29.088 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
06:45:29.094 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
06:45:29.100 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
06:45:29.383 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 4.5
06:45:30.305 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.305 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.305 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.312 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.312 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.312 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.319 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.365 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.390 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.390 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.390 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.398 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.399 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.399 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.408 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.408 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.409 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.409 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.409 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.411 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:45:30.411 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
