04:45:57.407 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.apache.commons.math.MaxIterationsExceededException
04:45:57.411 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.math.distribution.NormalDistributionImpl.cumulativeProbability(NormalDistributionImpl:109)
04:45:57.411 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.math.distribution.NormalDistributionImpl
04:45:57.411 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
04:45:58.243 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.special.Gamma
04:45:58.244 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.special.Erf
04:45:58.245 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.distribution.NormalDistributionImpl
04:45:58.275 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 3.
04:45:59.472 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
04:45:59.487 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
04:45:59.498 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
04:45:59.506 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
04:46:00.579 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 1 second: 1.5
04:46:02.809 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.820 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.862 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.887 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.888 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:02.895 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.033 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.034 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.038 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.044 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.063 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.090 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.095 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.097 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.126 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.128 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.161 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.214 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.215 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.216 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.229 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.249 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 1.5
04:46:03.249 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 1.5. PT: 3 seconds
04:46:03.249 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
04:46:03.608 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.661 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:03.936 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:04.301 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:04.302 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:04.312 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:04.901 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:04.903 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:05.192 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:05.193 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:05.200 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:05.201 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:46:05.209 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
