06:54:03.939 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.apache.commons.math.MathRuntimeException$4
06:54:03.942 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.math.ode.events.EventState.evaluateStep(EventState:218)
06:54:03.942 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.math.ode.events.EventState
06:54:03.942 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
06:54:04.974 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.MathRuntimeException
06:54:04.975 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.analysis.solvers.BrentSolver
06:54:04.976 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.ode.events.EventState
06:54:05.025 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 3.
06:54:06.192 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
06:54:06.201 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
06:54:06.208 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
06:54:06.214 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
06:54:06.400 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 3.8333333333333335
06:54:07.077 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.101 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.117 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.127 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.134 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.179 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.182 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.192 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.195 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.196 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.198 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.210 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.215 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.251 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.272 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.284 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.306 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.315 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.327 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.334 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.346 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.349 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.349 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.351 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:54:07.353 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
